id,city,country,latitude,longitude,temperature,feels_like,temp_min,temp_max,pressure,humidity,weather_main,weather_description,wind_speed,wind_direction,clouds,visibility,sunrise,sunset,recorded_at,created_at
66,Wrocław,PL,51.1,17.0333,-3.38,-8.9,-3.9,-2.76,1033,79,Clouds,broken clouds,4.63,60,75,10000,2025-12-24 07:54:27,2025-12-24 15:48:19,2025-12-24 14:46:24,2025-12-24 14:50:27.112204
67,Warsaw,PL,52.2298,21.0118,-5.63,-11.3,-6.31,-4.01,1037,69,Clear,clear sky,4.12,50,0,10000,2025-12-24 07:44:20,2025-12-24 15:26:35,2025-12-24 14:46:04,2025-12-24 14:50:55.495011
68,Krakow,PL,50.0833,19.9167,-3.2,-10.2,-3.8,-2,1030,59,Clouds,broken clouds,8.23,60,75,10000,2025-12-24 07:38:00,2025-12-24 15:41:41,2025-12-24 14:46:14,2025-12-24 14:50:56.561566
69,Wrocław,PL,51.1,17.0333,-3.38,-8.9,-3.9,-2.76,1033,79,Clouds,broken clouds,4.63,60,75,10000,2025-12-24 07:54:27,2025-12-24 15:48:19,2025-12-24 14:46:24,2025-12-24 14:50:57.639923
70,Gdańsk,PL,54.3521,18.6464,-3.05,-8.49,-3.94,-1.43,1039,69,Clouds,few clouds,4.63,80,20,10000,2025-12-24 08:05:49,2025-12-24 15:24:02,2025-12-24 14:50:04,2025-12-24 14:50:58.710963
71,Warsaw,PL,52.2298,21.0118,-8.63,-13.97,-9.32,-8.37,1040,83,Clear,clear sky,3.09,80,0,10000,2025-12-24 07:44:20,2025-12-24 15:26:35,2025-12-24 23:01:28,2025-12-24 23:02:03.580574
72,Krakow,PL,50.0833,19.9167,-5.56,-11.21,-5.89,-3.92,1035,47,Clouds,overcast clouds,4.12,50,100,10000,2025-12-24 07:38:00,2025-12-24 15:41:41,2025-12-24 22:59:18,2025-12-24 23:02:04.67504
73,Wrocław,PL,51.1,17.0333,-6.92,-11.91,-7.55,-6,1037,81,Clouds,broken clouds,3.09,70,75,10000,2025-12-24 07:54:27,2025-12-24 15:48:19,2025-12-24 22:58:06,2025-12-24 23:02:05.758445
74,Gdańsk,PL,54.3521,18.6464,-5.64,-8.26,-7.83,-5.03,1041,77,Clear,clear sky,1.54,120,0,10000,2025-12-24 08:05:49,2025-12-24 15:24:02,2025-12-24 22:58:24,2025-12-24 23:02:06.824538
79,Warsaw,PL,52.2298,21.0118,-3.52,-6.64,-5.2,-1.83,1038,60,Clear,clear sky,2.06,100,0,10000,2025-12-25 07:44:39,2025-12-25 15:27:14,2025-12-25 14:00:00,2025-12-25 14:00:45.395681
80,Krakow,PL,50.0833,19.9167,-4.34,-9.28,-4.92,-2.56,1034,66,Clouds,overcast clouds,3.6,60,100,10000,2025-12-25 07:38:20,2025-12-25 15:42:19,2025-12-25 14:00:00,2025-12-25 14:00:46.527036
81,Wrocław,PL,51.1,17.0333,-4.56,-9.07,-5,-4.21,1036,85,Clouds,overcast clouds,3.09,70,100,10000,2025-12-25 07:54:47,2025-12-25 15:48:57,2025-12-25 13:59:20,2025-12-25 14:00:47.596824
82,Gdańsk,PL,54.3521,18.6464,-2.78,-7.38,-3.28,-1.99,1037,69,Clear,clear sky,3.6,280,0,10000,2025-12-25 08:06:07,2025-12-25 15:24:42,2025-12-25 13:57:33,2025-12-25 14:00:48.678547
83,Warsaw,PL,52.2298,21.0118,-7.51,-13.14,-8.12,-5.81,1033,84,Clear,clear sky,3.6,260,0,10000,2025-12-25 07:44:39,2025-12-25 15:27:14,2025-12-25 22:57:34,2025-12-25 23:00:03.478683
84,Krakow,PL,50.0833,19.9167,-4.2,-7.43,-4.92,-3.11,1033,66,Clouds,overcast clouds,2.06,250,100,10000,2025-12-25 07:38:20,2025-12-25 15:42:19,2025-12-25 22:55:16,2025-12-25 23:00:04.555012
85,Wrocław,PL,51.1,17.0333,-3.94,-6.32,-4.99,-3.1,1035,86,Clouds,overcast clouds,1.54,140,100,10000,2025-12-25 07:54:47,2025-12-25 15:48:57,2025-12-25 22:56:20,2025-12-25 23:00:05.622136
86,Gdańsk,PL,54.3521,18.6464,0.03,-5.74,-0.59,0.84,1031,90,Clouds,broken clouds,6.69,280,75,10000,2025-12-25 08:06:07,2025-12-25 15:24:42,2025-12-25 23:00:02,2025-12-25 23:00:06.688192
87,Warsaw,PL,52.2298,21.0118,-3.24,-8.45,-4.05,-1.92,1028,80,Clouds,overcast clouds,4.25,288,100,10000,2025-12-26 07:44:54,2025-12-26 15:27:56,2025-12-26 09:55:30,2025-12-26 10:00:06.386369
88,Krakow,PL,50.0833,19.9167,-3.54,-9.1,-4.89,-2,1030,68,Clouds,broken clouds,4.63,260,75,8000,2025-12-26 07:38:37,2025-12-26 15:43:00,2025-12-26 09:58:25,2025-12-26 10:00:07.494401
89,Wrocław,PL,51.1,17.0333,-4.38,-8.85,-4.48,-3.99,1033,93,Mist,mist,3.09,280,100,5000,2025-12-26 07:55:03,2025-12-26 15:49:38,2025-12-26 09:59:01,2025-12-26 10:00:08.57395
90,Gdańsk,PL,54.3521,18.6464,4.39,0.76,3.69,4.68,1028,96,Clouds,overcast clouds,4.63,290,100,10000,2025-12-26 08:06:21,2025-12-26 15:25:26,2025-12-26 09:55:33,2025-12-26 10:00:09.673354
91,Warsaw,PL,52.2298,21.0118,-1.2,-6.19,-2.27,-0.03,1028,93,Mist,mist,4.63,280,100,3000,2025-12-26 07:44:54,2025-12-26 15:27:56,2025-12-26 16:57:14,2025-12-26 17:00:04.098443
92,Krakow,PL,50.0833,19.9167,-1.53,-5.86,-1.89,-0.34,1030,58,Clouds,broken clouds,3.6,240,75,7000,2025-12-26 07:38:37,2025-12-26 15:43:00,2025-12-26 16:55:31,2025-12-26 17:00:05.189458
93,Wrocław,PL,51.1,17.0333,-2.16,-6.62,-3,-0.88,1033,81,Clear,clear sky,3.6,280,0,10000,2025-12-26 07:55:03,2025-12-26 15:49:38,2025-12-26 16:55:41,2025-12-26 17:00:06.254447
94,Gdańsk,PL,54.3521,18.6464,5.38,2.56,4.8,5.79,1030,97,Clouds,overcast clouds,3.6,310,100,10000,2025-12-26 08:06:21,2025-12-26 15:25:26,2025-12-26 16:58:19,2025-12-26 17:00:07.334026
95,Warsaw,PL,52.2298,21.0118,0.06,-4.92,-0.74,1.55,1029,93,Mist,mist,5.14,270,100,3000,2025-12-26 07:44:54,2025-12-26 15:27:56,2025-12-26 21:50:00,2025-12-26 22:00:03.125513
96,Krakow,PL,50.0833,19.9167,-2.1,-6.55,-2.23,-0.89,1031,67,Mist,mist,3.6,250,100,4000,2025-12-26 07:38:37,2025-12-26 15:43:00,2025-12-26 21:55:10,2025-12-26 22:00:04.241243
97,Wrocław,PL,51.1,17.0333,-2.2,-6.23,-2.32,-2,1034,87,Clouds,overcast clouds,3.09,300,100,10000,2025-12-26 07:55:03,2025-12-26 15:49:38,2025-12-26 21:58:11,2025-12-26 22:00:05.318706
98,Gdańsk,PL,54.3521,18.6464,4.14,0.19,3.84,5.23,1030,98,Clouds,overcast clouds,5.14,300,100,10000,2025-12-26 08:06:21,2025-12-26 15:25:26,2025-12-26 21:55:57,2025-12-26 22:00:06.416352
99,Warsaw,PL,52.2298,21.0118,0.76,-4.32,-0.05,2.1,1023,95,Drizzle,light intensity drizzle,5.66,270,100,1000,2025-12-27 07:45:06,2025-12-27 15:28:42,2025-12-27 09:49:55,2025-12-27 10:00:11.304682
100,Krakow,PL,50.0833,19.9167,-1.61,-7.31,-1.89,-0.89,1027,70,Mist,mist,5.66,250,100,5000,2025-12-27 07:38:51,2025-12-27 15:43:43,2025-12-27 09:55:21,2025-12-27 10:00:12.429836
101,Wrocław,PL,51.1,17.0333,-2.03,-8.12,-2.26,-1.09,1030,91,Clouds,overcast clouds,6.17,280,100,10000,2025-12-27 07:55:16,2025-12-27 15:50:23,2025-12-27 09:56:55,2025-12-27 10:00:13.510476
102,Gdańsk,PL,54.3521,18.6464,4.09,-1.09,3.69,4.41,1020,95,Clouds,overcast clouds,8.23,260,100,10000,2025-12-27 08:06:30,2025-12-27 15:26:13,2025-12-27 09:59:01,2025-12-27 10:00:14.601765
103,Warsaw,PL,52.2298,21.0118,0.37,-5.93,-0.61,1.62,1012,95,Clouds,overcast clouds,8.23,280,100,10000,2025-12-27 07:45:06,2025-12-27 15:28:42,2025-12-27 19:05:33,2025-12-27 19:06:21.247773
104,Krakow,PL,50.0833,19.9167,-0.55,-6.48,-0.57,1.11,1019,56,Clouds,scattered clouds,6.69,270,40,10000,2025-12-27 07:38:51,2025-12-27 15:43:43,2025-12-27 19:02:12,2025-12-27 19:06:22.384984
105,Wrocław,PL,51.1,17.0333,-1.05,-7.98,-1.62,-0.1,1023,91,Clouds,overcast clouds,8.75,290,100,10000,2025-12-27 07:55:16,2025-12-27 15:50:23,2025-12-27 19:01:49,2025-12-27 19:06:23.470503
106,Gdańsk,PL,54.3521,18.6464,4.77,-0.36,3.69,5.23,1015,61,Clear,clear sky,8.75,330,0,10000,2025-12-27 08:06:30,2025-12-27 15:26:13,2025-12-27 19:04:17,2025-12-27 19:06:24.553599
111,Warsaw,PL,52.2298,21.0118,1.22,-4.21,0.51,2.17,1015,93,Clouds,broken clouds,6.69,280,75,10000,2025-12-28 07:45:15,2025-12-28 15:29:30,2025-12-27 23:56:34,2025-12-28 00:00:29.642567
112,Krakow,PL,50.0833,19.9167,-1.11,-6.68,-1.12,-0.03,1021,53,Snow,light snow,5.66,250,75,7000,2025-12-28 07:39:01,2025-12-28 15:44:30,2025-12-27 23:58:10,2025-12-28 00:00:30.712083
113,Wrocław,PL,51.1,17.0333,1.23,-4.62,1,2.12,1024,94,Clouds,overcast clouds,7.72,290,100,10000,2025-12-28 07:55:25,2025-12-28 15:51:10,2025-12-27 23:55:44,2025-12-28 00:00:31.778413
114,Gdańsk,PL,54.3521,18.6464,4.51,-1.14,3.69,4.95,1018,61,Clouds,scattered clouds,10.29,340,40,10000,2025-12-28 08:06:37,2025-12-28 15:27:05,2025-12-27 23:58:46,2025-12-28 00:00:32.846577
115,Warsaw,PL,52.2298,21.0118,2.46,-3.21,1.58,3.28,1017,72,Clouds,broken clouds,8.23,290,75,10000,2025-12-28 07:45:15,2025-12-28 15:29:30,2025-12-28 09:58:08,2025-12-28 10:00:01.669397
116,Krakow,PL,50.0833,19.9167,0.27,-4.94,-0.01,1.33,1022,63,Clouds,broken clouds,5.66,270,75,10000,2025-12-28 07:39:01,2025-12-28 15:44:30,2025-12-28 09:57:14,2025-12-28 10:00:02.778547
117,Wrocław,PL,51.1,17.0333,-0.01,-5.55,-0.51,0.23,1027,84,Clouds,broken clouds,6.17,300,75,10000,2025-12-28 07:55:25,2025-12-28 15:51:10,2025-12-28 09:55:08,2025-12-28 10:00:03.893419
118,Gdańsk,PL,54.3521,18.6464,3.62,-1.32,2.58,3.86,1021,66,Clouds,scattered clouds,7.15,340,40,10000,2025-12-28 08:06:37,2025-12-28 15:27:05,2025-12-28 09:57:38,2025-12-28 10:00:04.960638
